actor_id,award_name,year,award_outcome,award_description
nm0000136,Bravo Otto,2012,"Nominee
Bravo Otto Germany",Best Actor (Schauspieler)
nm0000136,Bravo Otto,2011,"Nominee
Bravo Otto Germany",Best Actor (Schauspieler)
nm0000136,Bravo Otto,2010,"Nominee
Bravo Otto Germany",Best Actor/Actress (Schauspieler/in)
nm0000136,Bravo Otto,2007,"Nominee
Bravo Otto Germany",Best Actor (Schauspieler)
nm0000136,Bravo Otto,2006,"Winner
Bravo Otto Germany",Best Actor (Schauspieler)
nm0000136,Bravo Otto,1995,"Nominee
Bravo Otto Germany",Best Actor (Schauspieler)
nm0000136,British Independent Film Awards,2005,"Nominee
British Independent Film Award","Best Actor
The Libertine (2004)"
nm0000136,Broadcast Film Critics Association Awards,2016,"Nominee
Critics Choice Award","Best Actor
Black Mass (2015)"
nm0000136,Broadcast Film Critics Association Awards,2008,"Nominee
Critics Choice Award","Best Actor
Sweeney Todd: The Demon Barber of Fleet Street (2007)"
nm0000136,Broadcast Film Critics Association Awards,2008,"Nominee
Critics Choice Award","Best Acting Ensemble
Sweeney Todd: The Demon Barber of Fleet Street (2007)

Shared with:

Helena Bonham Carter

Sacha Baron Cohen

Laura Michelle Kelly

Ed Sanders

Timothy Spall

Alan Rickman

Jamie Campbell Bower

Jayne Wisener"
nm0000136,Broadcast Film Critics Association Awards,2005,"Nominee
Critics Choice Award","Best Actor
Finding Neverland (2004)"
nm0000136,Broadcast Film Critics Association Awards,2004,"Nominee
Critics Choice Award","Best Actor
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,Cannes Film Festival,1997,"Nominee
Palme d'Or",The Brave (1997)
nm0000136,Cannes Film Festival,1997,"Nominee
Golden Camera",The Brave (1997)
nm0000136,Central Ohio Film Critics Association,2016,"Nominee
COFCA Award","Best Actor
Black Mass (2015)"
nm0000136,Chicago Film Critics Association Awards,2004,"Nominee
CFCA Award","Best Actor
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,Chicago Film Critics Association Awards,1995,"Nominee
CFCA Award","Best Actor
Ed Wood (1994)"
nm0000136,Chlotrudis Awards,1998,"Nominee
Chlotrudis Award","Best Actor
Donnie Brasco (1997)"
nm0000136,"César Awards, France",1999,"Winner
Honorary César",
nm0000136,Dallas-Fort Worth Film Critics Association Awards,2015,"Nominee
DFWFCA Award","Best Actor
Black Mass (2015)


5th place"
nm0000136,Dallas-Fort Worth Film Critics Association Awards,2005,"Nominee
DFWFCA Award","Best Actor
Finding Neverland (2004)"
nm0000136,Dallas-Fort Worth Film Critics Association Awards,2004,"Nominee
DFWFCA Award","Best Actor
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,Detroit Film Critics Society Awards,2014,"Nominee
DFCS Award","Best Ensemble
Into the Woods (2014)

Shared with:

Meryl Streep

Emily Blunt

James Corden

Anna Kendrick

Chris Pine

Tracey Ullman

Christine Baranski

Lilla Crawford

Daniel Huttlestone

Billy Magnussen

Mackenzie Mauzy

Tammy Blanchard

Lucy Punch

Frances de la Tour

Simon Russell Beale"
nm0000136,"Empire Awards, UK",2009,"Nominee
Empire Award","Best Actor
Sweeney Todd: The Demon Barber of Fleet Street (2007)"
nm0000136,"Empire Awards, UK",2007,"Nominee
Empire Award","Best Actor
Pirates of the Caribbean: Dead Man's Chest (2006)"
nm0000136,"Empire Awards, UK",2006,"Winner
Empire Award","Best Actor
Charlie and the Chocolate Factory (2005)"
nm0000136,"Empire Awards, UK",2005,"Nominee
Empire Award","Best Actor
Finding Neverland (2004)"
nm0000136,"Empire Awards, UK",2004,"Winner
Empire Award","Best Actor
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,Fangoria Chainsaw Awards,2005,"Nominee
Chainsaw Award","Best Actor
Secret Window (2004)"
nm0000136,Fangoria Chainsaw Awards,2002,"Nominee
Chainsaw Award","Best Actor
From Hell (2001)"
nm0000136,Fangoria Chainsaw Awards,2000,"Winner
Chainsaw Award","Best Actor
Sleepy Hollow (1999)"
nm0000136,Gold Derby Awards,2015,"Nominee
Gold Derby Award","Ensemble Cast
Into the Woods (2014)

Shared with:

Meryl Streep

James Corden

Emily Blunt

Mackenzie Mauzy

Frances de la Tour

Christine Baranski

Lucy Punch

Tammy Blanchard

Lilla Crawford

Daniel Huttlestone

Anna Kendrick

Billy Magnussen

Chris Pine

Tracey Ullman"
nm0000136,Gold Derby Awards,2010,"Nominee
Gold Derby Award",Performer of the Decade
nm0000136,Gold Derby Awards,2010,"Nominee
Gold Derby Award","Lead Actor of the Decade
Pirates of the Caribbean: The Curse of the Black Pearl (2003)


As Captain Jack Sparrow"
nm0000136,Gold Derby Awards,2008,"Nominee
Gold Derby Award","Lead Actor
Sweeney Todd: The Demon Barber of Fleet Street (2007)


As Sweeney Todd"
nm0000136,Gold Derby Awards,2004,"Nominee
Gold Derby Award","Lead Actor
Pirates of the Caribbean: The Curse of the Black Pearl (2003)


As Capt. Jack Sparrow"
nm0000136,"Golden Globes, USA",2011,"Nominee
Golden Globe","Best Performance by an Actor in a Motion Picture - Comedy or Musical
The Tourist (2010)"
nm0000136,"Golden Globes, USA",2011,"Nominee
Golden Globe","Best Performance by an Actor in a Motion Picture - Comedy or Musical
Alice in Wonderland (2010)"
nm0000136,"Golden Globes, USA",2008,"Winner
Golden Globe","Best Performance by an Actor in a Motion Picture - Comedy or Musical
Sweeney Todd: The Demon Barber of Fleet Street (2007)"
nm0000136,"Golden Globes, USA",2007,"Nominee
Golden Globe","Best Performance by an Actor in a Motion Picture - Comedy or Musical
Pirates of the Caribbean: Dead Man's Chest (2006)"
nm0000136,"Golden Globes, USA",2006,"Nominee
Golden Globe","Best Performance by an Actor in a Motion Picture - Comedy or Musical
Charlie and the Chocolate Factory (2005)"
nm0000136,"Golden Globes, USA",2005,"Nominee
Golden Globe","Best Performance by an Actor in a Motion Picture - Drama
Finding Neverland (2004)"
nm0000136,"Golden Globes, USA",2004,"Nominee
Golden Globe","Best Performance by an Actor in a Motion Picture - Comedy or Musical
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,"Golden Globes, USA",1995,"Nominee
Golden Globe","Best Performance by an Actor in a Motion Picture - Comedy or Musical
Ed Wood (1994)"
nm0000136,"Golden Globes, USA",1994,"Nominee
Golden Globe","Best Performance by an Actor in a Motion Picture - Comedy or Musical
Benny & Joon (1993)"
nm0000136,"Golden Globes, USA",1991,"Nominee
Golden Globe","Best Performance by an Actor in a Motion Picture - Comedy or Musical
Edward Scissorhands (1990)"
nm0000136,Golden Schmoes Awards,2015,"Nominee
Golden Schmoes","Best Actor of the Year
Black Mass (2015)"
nm0000136,Golden Schmoes Awards,2007,"Winner
Golden Schmoes",Favorite Celebrity of the Year
nm0000136,Golden Schmoes Awards,2007,"Nominee
Golden Schmoes","Best Actor of the Year
Sweeney Todd: The Demon Barber of Fleet Street (2007)"
nm0000136,Golden Schmoes Awards,2004,"Winner
Golden Schmoes",Favorite Celebrity of the Year
nm0000136,Golden Schmoes Awards,2004,"Nominee
Golden Schmoes","Best Actor of the Year
Finding Neverland (2004)"
nm0000136,Golden Schmoes Awards,2003,"Winner
Golden Schmoes","Best Actor of the Year
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,Golden Schmoes Awards,2003,"Winner
Golden Schmoes",Favorite Celebrity of the Year
nm0000136,Golden Schmoes Awards,2003,"Nominee
Golden Schmoes","Best Supporting Actor of the Year
Once Upon a Time in Mexico (2003)"
nm0000136,Hollywood Film Awards,2003,"Winner
Actor of the Year",
nm0000136,Hollywood Makeup Artist and Hair Stylist Guild Awards,2014,"Winner
Distinguished Artisan Award","Johnny Depp is one of the most prominent and talented actors working today. The award-winning ...                More


Johnny Depp is one of the most prominent and talented actors working today. The award-winning characters he consistently brings to life through film are uniquely enhanced with make-up and hair stylist artistry. Beginning with Tim Burton's Edward Scissorhands in 1990, Depp repeatedly creates indelible characterizations, making it hard to imagine any other actor in these roles. His iconic performances in Sleepy Hollow, Charlie and the Chocolate Factory, Sweeney Todd: The Demon Barber of Fleet Street, Alice in Wonderland; and of course the continuing Pirates of the Caribbean series, are among the 50 plus roles he has played, which have been brought to life in partnership with his gifted make-up artists and hair stylists."
nm0000136,Huading Award,2016,"Nominee
Huading Award","Best Global Actor in a Motion Picture
Alice Through the Looking Glass (2016)"
nm0000136,International Documentary Association,2021,"Nominee
IDA Award","Best Music Documentary
Crock of Gold: A Few Rounds with Shane MacGowan (2020)

Shared with:

Julien Temple

Stephen Deuters

Stephen Malit"
nm0000136,International Online Cinema Awards (INOCA),2004,"Nominee
INOCA","Best Actor
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,Irish Film and Television Awards,2005,"Nominee
Audience Award","Best International Actor
Charlie and the Chocolate Factory (2005)"
nm0000136,Irish Film and Television Awards,2004,"Winner
Audience Award","Best International Actor
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,Italian Online Movie Awards (IOMA),2008,"Nominee
IOMA","Best Actor (Miglior attore protagonista)
Sweeney Todd: The Demon Barber of Fleet Street (2007)"
nm0000136,Italian Online Movie Awards (IOMA),2006,"Nominee
IOMA","Best Actor (Miglior attore protagonista)
Charlie and the Chocolate Factory (2005)"
nm0000136,Italian Online Movie Awards (IOMA),2004,"Nominee
IOMA","Best Actor (Miglior attore protagonista)
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,Jupiter Award,2012,"Nominee
Jupiter Award","Best International Actor
Pirates of the Caribbean: On Stranger Tides (2011)"
nm0000136,Jupiter Award,2008,"Winner
Jupiter Award","Best International Actor
Pirates of the Caribbean: At World's End (2007)"
nm0000136,Jupiter Award,2007,"Winner
Jupiter Award","Best International Actor
Pirates of the Caribbean: Dead Man's Chest (2006)"
nm0000136,Jupiter Award,2006,"Nominee
Jupiter Award","Best International Actor
Charlie and the Chocolate Factory (2005)"
nm0000136,Jupiter Award,2005,"Nominee
Jupiter Award","Best International Actor
Finding Neverland (2004)"
nm0000136,Jupiter Award,2003,"Winner
Jupiter Award","Best International Actor
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,Jupiter Award,1995,"Winner
Jupiter Award","Best International Actor
Don Juan DeMarco (1994)"
nm0000136,"Kids' Choice Awards, USA",2014,"Nominee
Blimp Award","Favorite Movie Actor
The Lone Ranger (2013)"
nm0000136,"Kids' Choice Awards, USA",2014,"Nominee
Blimp Award","Favorite Male Butt Kicker
The Lone Ranger (2013)"
nm0000136,"Kids' Choice Awards, USA",2013,"Winner
Blimp Award","Favorite Movie Actor
Dark Shadows (2012)"
nm0000136,"Kids' Choice Awards, USA",2012,"Nominee
Blimp Award","Favorite Movie Actor
Pirates of the Caribbean: On Stranger Tides (2011)


For playing ""Jack Sparrow""."
nm0000136,"Kids' Choice Awards, USA",2012,"Nominee
Blimp Award","Favorite Voice from an Animated Movie
Rango (2011)


For playing ""Rango""."
nm0000136,"Kids' Choice Awards, USA",2011,"Winner
Blimp Award","Favorite Movie Actor
Alice in Wonderland (2010)"
nm0000136,"Kids' Choice Awards, USA",2008,"Winner
Blimp Award","Favorite Male Movie Star
Pirates of the Caribbean: At World's End (2007)"
nm0000136,"Kids' Choice Awards, USA",2007,"Nominee
Blimp Award","Favorite Male Movie Star
Pirates of the Caribbean: Dead Man's Chest (2006)"
nm0000136,"Kids' Choice Awards, USA",2006,"Nominee
Blimp Award","Favorite Movie Actor
Charlie and the Chocolate Factory (2005)"
nm0000136,"Kids' Choice Awards, USA",2006,"Nominee
Blimp Award","Favorite Voice from an Animated Feature
Corpse Bride (2005)"
nm0000136,Las Vegas Film Critics Society Awards,2004,"Nominee
Sierra Award","Best Actor
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,London Critics Circle Film Awards,2006,"Nominee
ALFS Award","Actor of the Year
Charlie and the Chocolate Factory (2005)"
nm0000136,London Critics Circle Film Awards,2005,"Nominee
ALFS Award","Actor of the Year
Finding Neverland (2004)"
nm0000136,London Critics Circle Film Awards,1996,"Winner
ALFS Award","Actor of the Year
Ed Wood (1994)

Don Juan DeMarco (1994)"
nm0000136,MTV Movie + TV Awards,2012,"Winner
MTV Generation Award",
nm0000136,MTV Movie + TV Awards,2012,"Nominee
MTV Movie Award","Best On-Screen Transformation
21 Jump Street (2012)"
nm0000136,MTV Movie + TV Awards,2010,"Nominee
MTV Movie Award",Global Superstar
nm0000136,MTV Movie + TV Awards,2008,"Winner
MTV Movie Award","Best Comedic Performance
Pirates of the Caribbean: At World's End (2007)"
nm0000136,MTV Movie + TV Awards,2008,"Winner
MTV Movie Award","Best Villain
Sweeney Todd: The Demon Barber of Fleet Street (2007)"
nm0000136,MTV Movie + TV Awards,2007,"Winner
MTV Movie Award","Best Performance
Pirates of the Caribbean: Dead Man's Chest (2006)"
nm0000136,MTV Movie + TV Awards,2004,"Winner
MTV Movie Award","Best Male Performance
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,MTV Movie + TV Awards,2004,"Nominee
MTV Movie Award","Best Comedic Performance
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,MTV Movie + TV Awards,2004,"Nominee
MTV Movie Award","Best On-Screen Team
Pirates of the Caribbean: The Curse of the Black Pearl (2003)

Shared with:

Orlando Bloom"
nm0000136,MTV Movie + TV Awards,1994,"Nominee
MTV Movie Award","Best On-Screen Duo
Benny & Joon (1993)

Shared with:

Mary Stuart Masterson"
nm0000136,MTV Movie + TV Awards,1994,"Nominee
MTV Movie Award","Best Comedic Performance
Benny & Joon (1993)"
nm0000136,"MTV Movie Awards, Mexico",2004,"Winner
MTV Movie Award","Best Look (Mejor Look)
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,"National Movie Awards, UK",2011,"Winner
National Movie Award",Screen Icon
nm0000136,"National Movie Awards, UK",2008,"Winner
National Movie Award","Best Performance - Male
Sweeney Todd: The Demon Barber of Fleet Street (2007)"
nm0000136,"National Movie Awards, UK",2007,"Nominee
National Movie Award","Best Performance by a Male
Pirates of the Caribbean: At World's End (2007)"
nm0000136,NAVGTR Awards,2007,"Nominee
NAVGTR Award","Performance in a Comedy, Lead
Pirates of the Caribbean: The Legend of Jack Sparrow (2006)"
nm0000136,New England Film & Video Festival,2021,"Winner
Honorable Mention",Lifetime Achievement
nm0000136,NewNowNext Awards,2013,"Nominee
Nexty","Coolest Cameo
21 Jump Street (2012)"
nm0000136,"Northeast Film Festival, US",2017,"Nominee
Festival Award","Best Supporting Actor in a Short Film
The Black Ghiandola (2017)"
nm0000136,NRJ Ciné Awards,2006,"Winner
NRJ Ciné Award","Best Look (Meilleur Look)
Charlie and the Chocolate Factory (2005)"
nm0000136,NRJ Ciné Awards,2004,"Nominee
NRJ Ciné Award","Sexiest Actor (Acteur le plus sexy)
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,Odyssey Awards,2016,"Nominee
Odyssey Award","Worst Acting Performance
Mortdecai (2015)"
nm0000136,Online Film & Television Association,2012,"Nominee
OFTA Film Award","Best Picture
Hugo (2011)

Shared with:

Graham King

Tim Hetherington

Martin Scorsese"
nm0000136,Online Film & Television Association,2004,"Nominee
OFTA Film Award","Best Actor
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,Online Film Critics Society Awards,2004,"Nominee
OFCS Award","Best Actor
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,Palm Springs International Film Festival,2016,"Winner
Desert Palm Achievement Award","Black Mass (2015)



""Johnny Depp is one of the most versatile and dynamic actors of our time,"" said Festival Chairman ...                More


""Johnny Depp is one of the most versatile and dynamic actors of our time,"" said Festival Chairman Harold Matzner. ""In his latest film, Black Mass, Depp, in a stunning transformation, creates a gripping and multi-layered portrait of infamous gangster James 'Whitey' Bulger. He delivers an astounding performance that has earned raves from both critics and audiences and is sure to garner awards attention. It is our honor to present the 2016 Desert Palm Achievement Award, Actor, to Johnny Depp."""
nm0000136,"People's Choice Awards, USA",2017,"Winner
People's Choice Award",Favorite Movie Icon
nm0000136,"People's Choice Awards, USA",2016,"Winner
People's Choice Award",Favorite Dramatic Movie Actor
nm0000136,"People's Choice Awards, USA",2016,"Nominee
People's Choice Award",Favorite Movie Actor
nm0000136,"People's Choice Awards, USA",2014,"Winner
People's Choice Award",Favorite Movie Actor
nm0000136,"People's Choice Awards, USA",2013,"Nominee
People's Choice Award",Favorite Movie Actor
nm0000136,"People's Choice Awards, USA",2012,"Winner
People's Choice Award",Favorite Movie Actor
nm0000136,"People's Choice Awards, USA",2012,"Winner
People's Choice Award","Favorite Animated Movie Voice
Rango (2011)


For playing ""Rango"""
nm0000136,"People's Choice Awards, USA",2011,"Winner
People's Choice Award",Favorite Movie Actor
nm0000136,"People's Choice Awards, USA",2010,"Winner
People's Choice Award",Favorite Movie Actor
nm0000136,"People's Choice Awards, USA",2010,"Winner
People's Choice Award",Favorite Movie Actor of the Decade
nm0000136,"People's Choice Awards, USA",2008,"Winner
People's Choice Award",Favorite Male Movie Star
nm0000136,"People's Choice Awards, USA",2008,"Nominee
People's Choice Award",Favorite Male Action Star
nm0000136,"People's Choice Awards, USA",2007,"Winner
People's Choice Award",Favorite Male Movie Star
nm0000136,"People's Choice Awards, USA",2007,"Winner
People's Choice Award",Favorite Male Action Star
nm0000136,"People's Choice Awards, USA",2007,"Winner
People's Choice Award","Favorite On-Screen Match-Up
Pirates of the Caribbean: Dead Man's Chest (2006)

Shared with:

Keira Knightley"
nm0000136,"People's Choice Awards, USA",2006,"Winner
People's Choice Award",Favorite Male Movie Star
nm0000136,"People's Choice Awards, USA",2005,"Winner
People's Choice Award",Favorite Male Movie Star
nm0000136,"People's Choice Awards, USA",2005,"Nominee
People's Choice Award","Favorite On-Screen Chemistry
Finding Neverland (2004)

Shared with:

Kate Winslet"
nm0000136,Phoenix Film Critics Society Awards,2015,"Nominee
PFCS Award","Best Actor in a Leading Role
Black Mass (2015)"
nm0000136,Phoenix Film Critics Society Awards,2014,"Nominee
PFCS Award","Best Ensemble Acting
Into the Woods (2014)

Shared with:

Meryl Streep

Emily Blunt

James Corden

Anna Kendrick

Chris Pine

Tracey Ullman

Christine Baranski

Lilla Crawford

Daniel Huttlestone

Billy Magnussen

Mackenzie Mauzy

Tammy Blanchard

Lucy Punch

Frances de la Tour

Simon Russell Beale"
nm0000136,Phoenix Film Critics Society Awards,2004,"Nominee
PFCS Award","Best Performance by an Actor in a Leading Role
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,Razzie Awards,2019,"Nominee
Razzie Award","Worst Actor
Sherlock Gnomes (2018)"
nm0000136,Razzie Awards,2019,"Nominee
Razzie Award","Worst Screen Combo
Sherlock Gnomes (2018)


Johnny Depp and his fast-fading film career (He's doing voices for cartoons, fer kripesakes!)"
nm0000136,Razzie Awards,2018,"Nominee
Razzie Award","Worst Actor
Pirates of the Caribbean: Dead Men Tell No Tales (2017)"
nm0000136,Razzie Awards,2018,"Nominee
Razzie Award","Worst Screen Combo
Pirates of the Caribbean: Dead Men Tell No Tales (2017)


Johnny Depp & His Worn Out Drunk Routine."
nm0000136,Razzie Awards,2017,"Nominee
Razzie Award","Worst Supporting Actor
Alice Through the Looking Glass (2016)"
nm0000136,Razzie Awards,2017,"Nominee
Razzie Award","Worst Screen Combo
Alice Through the Looking Glass (2016)


Johnny Depp & His Vomitously Vibrant Costume."
nm0000136,Razzie Awards,2016,"Nominee
Razzie Award","Worst Actor
Mortdecai (2015)"
nm0000136,Razzie Awards,2016,"Nominee
Razzie Award","Worst Screen Combo
Mortdecai (2015)


Johnny Depp and His Glued-On Moustache."
nm0000136,Razzie Awards,2014,"Nominee
Razzie Award","Worst Actor
The Lone Ranger (2013)"
nm0000136,Rembrandt Awards,2011,"Winner
Rembrandt Award","Best International Actor (Beste Buitenlandse Acteur)
Alice in Wonderland (2010)"
nm0000136,Rembrandt Awards,2008,"Winner
Rembrandt Award","Best International Actor (Beste Buitenlandse Acteur)
Pirates of the Caribbean: At World's End (2007)"
nm0000136,Rembrandt Awards,2007,"Winner
Rembrandt Award","Best International Actor (Beste Buitenlandse Acteur)
Pirates of the Caribbean: Dead Man's Chest (2006)"
nm0000136,Russian Guild of Film Critics,1998,"Winner
Golden Aries","Best Foreign Actor
Fear and Loathing in Las Vegas (1998)"
nm0000136,Russian National Movie Awards,2014,"Nominee
Georges Award",Best Foreign Actor of the Decade
nm0000136,Russian National Movie Awards,2014,"Nominee
Georges Award",Best Foreign Actor of the Year
nm0000136,Russian National Movie Awards,2013,"Nominee
Georges Award",Best Foreign Actor of the Year
nm0000136,Russian National Movie Awards,2012,"Nominee
Georges Award",Best Foreign Actor of the Year
nm0000136,Russian National Movie Awards,2011,"Nominee
Georges Award",Best Foreign Actor
nm0000136,Russian National Movie Awards,2009,"Winner
Georges Award","Georges Special Prize

Simply The Best"
nm0000136,Russian National Movie Awards,2008,"Nominee
Georges Award",Best Foreign Actor
nm0000136,Russian National Movie Awards,2007,"Winner
Georges Award",Best Foreign Actor
nm0000136,Russian National Movie Awards,2006,"Winner
Georges Award",Best Actor
nm0000136,Russian National Movie Awards,2005,"Winner
Georges Award",Best Actor
nm0000136,San Sebastián International Film Festival,2021,"Winner
Donostia Lifetime Achievement Award",
nm0000136,Santa Barbara International Film Festival,2016,"Winner
Modern Master Award",
nm0000136,Satellite Awards,2016,"Nominee
Satellite Award","Best Actor in a Motion Picture
Black Mass (2015)"
nm0000136,Satellite Awards,2015,"Winner
Special Achievement Award","Best Ensemble, Motion Picture
Into the Woods (2014)

Shared with:

Christine Baranski

Tammy Blanchard

Emily Blunt

James Corden

Lilla Crawford

Frances de la Tour

Daniel Huttlestone

Anna Kendrick

Billy Magnussen

Mackenzie Mauzy

Chris Pine

Lucy Punch

Meryl Streep

Tracey Ullman"
nm0000136,Satellite Awards,2009,"Nominee
Satellite Award","Best Actor in a Motion Picture, Drama
Public Enemies (2009)"
nm0000136,Satellite Awards,2005,"Nominee
Golden Satellite Award","Best Actor in a Motion Picture, Drama
Finding Neverland (2004)"
nm0000136,Satellite Awards,2004,"Nominee
Golden Satellite Award","Best Actor in a Motion Picture, Comedy or Musical
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,Satellite Awards,2004,"Nominee
Golden Satellite Award","Best Actor in a Supporting Role, Comedy or Musical
Once Upon a Time in Mexico (2003)"
nm0000136,Satellite Awards,2000,"Nominee
Golden Satellite Award","Best Performance by an Actor in a Motion Picture, Comedy or Musical
Sleepy Hollow (1999)"
nm0000136,Scream Awards,2011,"Nominee
Scream Award","Best Fantasy Actor
Pirates of the Caribbean: On Stranger Tides (2011)"
nm0000136,Scream Awards,2010,"Nominee
Scream Award","Best Fantasy Actor
Alice in Wonderland (2010)"
nm0000136,Scream Awards,2007,"Winner
Scream Award","Fantasy Hero
Pirates of the Caribbean: At World's End (2007)"
nm0000136,Scream Awards,2006,"Winner
Scream Award","Most Heroic Performance
Pirates of the Caribbean: Dead Man's Chest (2006)"
nm0000136,Screen Actors Guild Awards,2016,"Nominee
Actor","Outstanding Performance by a Male Actor in a Leading Role
Black Mass (2015)"
nm0000136,Screen Actors Guild Awards,2005,"Nominee
Actor","Outstanding Performance by a Male Actor in a Leading Role
Finding Neverland (2004)"
nm0000136,Screen Actors Guild Awards,2005,"Nominee
Actor","Outstanding Performance by a Cast in a Motion Picture
Finding Neverland (2004)

Shared with:

Julie Christie

Freddie Highmore

Dustin Hoffman

Radha Mitchell

Joe Prospero

Nick Roud

Luke Spill

Kate Winslet"
nm0000136,Screen Actors Guild Awards,2004,"Winner
Actor","Outstanding Performance by a Male Actor in a Leading Role
Pirates of the Caribbean: The Curse of the Black Pearl (2003)"
nm0000136,Screen Actors Guild Awards,2001,"Nominee
Actor","Outstanding Performance by the Cast of a Theatrical Motion Picture
Chocolat (2000)

Shared with:

Juliette Binoche

Leslie Caron

Judi Dench

Alfred Molina

Carrie-Anne Moss

Hugh O'Conor

Lena Olin

Peter Stormare

John Wood"
